codigo_referencia,sku,nombre,descripcion,edad,genero,stock_inicial,stock_disponible,imagen_url
REF-03N1,BLQ-060,Set de bloques grandes 60 piezas,"Piezas grandes, seguras para manos pequeñas",3,Niño,12,12,https://placehold.co/600x600/EEE/31343C?text=BLQ-060
REF-03N2,CAR-MAD,Carro de arrastre de madera,"Madera natural, pintura no tóxica",3,Niño,12,12,https://placehold.co/600x600/EEE/31343C?text=CAR-MAD
REF-03N3,CUB-ENC,Cubo de encaje de figuras,6 figuras geométricas,3,Niño,17,17,https://placehold.co/600x600/EEE/31343C?text=CUB-ENC
REF-03N4,TAM-INF,Tambor musical infantil,Con dos baquetas de goma,3,Niño,14,14,https://placehold.co/600x600/EEE/31343C?text=TAM-INF
REF-03N5,RMP-012,Rompecabezas de madera 12 piezas,Motivo de animales de granja,3,Niño,10,10,https://placehold.co/600x600/EEE/31343C?text=RMP-012
REF-03N6,HER-JUG,Set de herramientas de juguete,10 piezas con maletín,3,Niño,16,16,https://placehold.co/600x600/EEE/31343C?text=HER-JUG
REF-03A1,BLQ-060,Set de bloques grandes 60 piezas,"Piezas grandes, seguras para manos pequeñas",3,Niña,16,16,https://placehold.co/600x600/EEE/31343C?text=BLQ-060
REF-03A2,MUN-TRP,Muñeca de trapo 35 cm,"Suave, lavable a máquina",3,Niña,10,10,https://placehold.co/600x600/EEE/31343C?text=MUN-TRP
REF-03A3,COC-CMP,Cocinita compacta con accesorios,8 accesorios incluidos,3,Niña,13,13,https://placehold.co/600x600/EEE/31343C?text=COC-CMP
REF-03A4,XIL-INF,Xilófono infantil de colores,"8 notas, con baqueta",3,Niña,14,14,https://placehold.co/600x600/EEE/31343C?text=XIL-INF
REF-03A5,RMP-012,Rompecabezas de madera 12 piezas,Motivo de animales de granja,3,Niña,12,12,https://placehold.co/600x600/EEE/31343C?text=RMP-012
REF-03A6,PEL-INT,Peluche interactivo con sonidos,Funciona con pilas incluidas,3,Niña,8,8,https://placehold.co/600x600/EEE/31343C?text=PEL-INT
REF-07N1,CNS-250,Set de construcción 250 piezas,Compatible con bloques estándar,7,Niño,8,8,https://placehold.co/600x600/EEE/31343C?text=CNS-250
REF-07N2,PST-RMP,Pista de carros con rampa,Incluye dos vehículos,7,Niño,14,14,https://placehold.co/600x600/EEE/31343C?text=PST-RMP
REF-07N3,BAL-FUT,Balón de fútbol No. 4,"Cosido a máquina, tamaño juvenil",7,Niño,17,17,https://placehold.co/600x600/EEE/31343C?text=BAL-FUT
REF-07N4,JMS-EST,Juego de mesa de estrategia,"De 2 a 4 jugadores, 30 min por partida",7,Niño,13,13,https://placehold.co/600x600/EEE/31343C?text=JMS-EST
REF-07N5,KIT-CIE,Kit de ciencia con 20 experimentos,Manual ilustrado incluido,7,Niño,14,14,https://placehold.co/600x600/EEE/31343C?text=KIT-CIE
REF-07N6,PAT-INI,Patineta de iniciación,Con protecciones básicas,7,Niño,16,16,https://placehold.co/600x600/EEE/31343C?text=PAT-INI
REF-07A1,CNS-250,Set de construcción 250 piezas,Compatible con bloques estándar,7,Niña,18,18,https://placehold.co/600x600/EEE/31343C?text=CNS-250
REF-07A2,ART-048,Set de arte 48 piezas,"Marcadores, colores y block",7,Niña,17,17,https://placehold.co/600x600/EEE/31343C?text=ART-048
REF-07A3,MUN-ART,Muñeca articulada con accesorios,"30 cm, incluye ropa de cambio",7,Niña,9,9,https://placehold.co/600x600/EEE/31343C?text=MUN-ART
REF-07A4,JMS-FAM,Juego de mesa familiar,De 2 a 6 jugadores,7,Niña,18,18,https://placehold.co/600x600/EEE/31343C?text=JMS-FAM
REF-07A5,PUL-ABA,Kit de pulseras y abalorios,Más de 300 piezas,7,Niña,14,14,https://placehold.co/600x600/EEE/31343C?text=PUL-ABA
REF-07A6,PTN-AJU,Patines ajustables,"Talla regulable, con protecciones",7,Niña,8,8,https://placehold.co/600x600/EEE/31343C?text=PTN-AJU
REF-12N1,AUD-BT1,Audífonos diadema Bluetooth,"Plegables, 20 horas de batería",12,Niño,13,13,https://placehold.co/600x600/EEE/31343C?text=AUD-BT1
REF-12N2,ROB-INI,Kit de robótica de iniciación,Arma 5 modelos distintos,12,Niño,13,13,https://placehold.co/600x600/EEE/31343C?text=ROB-INI
REF-12N3,BAL-BAL,Balón de baloncesto No. 7,Superficie para exteriores,12,Niño,8,8,https://placehold.co/600x600/EEE/31343C?text=BAL-BAL
REF-12N4,MOR-DEP,Morral deportivo 25 litros,Compartimento para portátil,12,Niño,15,15,https://placehold.co/600x600/EEE/31343C?text=MOR-DEP
REF-12N5,REL-DEP,Reloj digital deportivo,"Resistente al agua, cronómetro",12,Niño,11,11,https://placehold.co/600x600/EEE/31343C?text=REL-DEP
